"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"27","35","European pilchard(=Sardine)","Sardina pilchardus","145000","161900","153700","164300","183100","151300","188600","180200","229900","228600","262300","270000","234400","223400","255300","230700","221000","210300","169000","156500","140100","190200","160400","177200","136014","175367","157581","146810","181811","184687","223253","236798","221879","202491","214131","219805","198773","181511","175055","153705","160322","149897","182690","212449","190153","181977","157154","139119","157045","162233","123760","130891","143850","137040","139521","145985","140835","149935","134568.3","130752","125997","115893","95934","90989","75055.4","64055","73342","66474","58887","49467.218"
"27","37","Capelin","Mallotus villosus","4100","10200","9400","19300","31600","43900","69000","75000","93100","79900","96000","218700","3800","35800","28300","274200","513900","505700","615800","850400","1505900","1574900","1869700","1777300","1611457","1878126","2995661","3773808","3061797","2893982","2562984","2760374","1800842","2509110","2494093","2131793","1292127","1021705","1031289","777117","795742","1206210","2083130","1693250","881938","748394","1494531","1581191","943619","880444","1463153","1646483","1963357","1119522","622536","713204","224764","382211","213798.91999999998","327681.648","479045.594","825336","973164","730357","251891.68","592247","170799","299839","478676","45.587"
"27","37","Atlantic horse mackerel","Trachurus trachurus","26500","37000","38000","50900","53900","40400","48700","46800","47400","49800","48200","51600","57900","76000","79800","71900","58100","66100","80500","66100","150400","142100","185500","242600","213792","192734","269847","121384","71852","90409","97156","124920","156253","145662","134441","173671","184338","214493","318613","348523","389751","354586","413749","486970","412426","550188","464224","446230","343556","314455","221761","236805","203804","196222","195316","203985","198237","157990","173547.812","234417.323","199686.813","198892","198998","197492","153996.83000000002","130185","114416","111927","129307","147692.009"
"27","37","Atlantic mackerel","Scomber scombrus","76500","98800","97400","91800","90600","99000","88400","124300","111200","125300","145700","138700","124700","118400","152400","250600","576800","981900","867400","789100","430500","377700","367400","596300","637041","799244","829010","602528","672091","719788","620280","593357","577283","535344","615876","536900","536976","616191","622632","550921","580776","611002","734371","798787","817144","760048","514967","514081","625968","584815","654829","660188","684829","600489","587074","447608","420877","511118","547505.771","631821.966","831892.289","929675","875857","935408","1382504.53","1202640","1088869","1163112","990859","831845.289"
"27","45","Northern prawn","Pandalus borealis","3500","3900","4700","5800","7000","8100","8600","10200","11000","15100","16200","17800","20600","21600","19100","19500","14000","15200","17200","17300","19000","21400","20000","20900","19347","20232","26115","34756","52654","52450","73788","66565","88162","135842","170235","172150","127337","116294","104333","113079","133378","133614","135730","129847","122540","129276","131996","137822","136604","128660","130908","105500","110196","86769","83149","67930","48985","49875","48764.084","50723.57","43533.447","47135","44791","39679","38474.729999999996","51129","48717","45493","69537","84705.41799999999"
"27","35","European sprat","Sprattus sprattus","45300","43200","49900","55600","83000","86700","65800","70000","74140","96200","71300","88100","105700","152700","180000","175100","210500","155000","166500","202500","232200","298000","325200","508100","644208","982776","900664","624799","691450","600620","567206","502986","481612","330876","253218","168778","200149","246123","255403","208692","190956","254543","268436","365797","561159","580180","643356","671996","657910","644808","616405","584552","549589","568775","634405","732615","550108","534913","488992.262","575389.076","538116.031","438348","373492","364475","437889.62","567850","505479","417769","500626.14","478855.031"
"27","54","Blue mussel","Mytilus edulis","26600","19600","23400","22000","19500","22600","26900","21000","16300","25000","18800","15200","22200","17400","19900","21200","22900","21200","18500","19700","25600","33600","35100","31900","34877","34713","45337","58943","53971","62201","99605","88653","74109","72409","84841","88731","96051","90909","80331","90556","108879","141737","144649","150702","146694","130482","99965","118919","121762","113866","126874","145047","132227","99339","113269","90624","72068","66065","47638","43472","35134","48402","58008","46999","48689","51755","67824","43308","40721","37716.03"
"31","33","Mullets nei","Mugilidae","16314","18231","17169","16042","16143","16736","17891","19493","21763","20736","20942","21765","23704","22225","22289","22443","23329","25225","20744","19126","20700","19200","24900","21200","19767","17715","15253","12367","18466","17025","25457","23327","20346","16236","17608","12456","14865","17415","17970","17000","15984","16054","14185","19606","20742","7125","6212","8314","8126","8525","9279","7308","7619","6852","7024","923","999","382","485","467","519","785","792","1358","1466","3641","4577","3874","2595","1244.497"
"31","33","Flathead grey mullet","Mugil cephalus","4000","4000","4000","3800","2300","2700","3200","2700","2800","2500","2500","2700","3000","5100","4800","5100","5000","4000","4300","4000","3500","3900","4600","4900","4477","5276","4926","4976","5571","5567","6934","5470","5820","7967","9194","8874","9679","10489","9831","12942","15716","14811","14817","15398","16694","26988","24278","22109","18433","19629","18687","17668","14517","12925","13129","12649","15400","11925","12033","11917","9226","11505","10252","10804","12302","7290","12371","9917","14034","7506"
"31","36","Albacore","Thunnus alalunga","0","0","0","0","0","0","2","135","945","599","1131","380","5000","13000","13100","9500","3200","4900","5200","5900","5886","8169","8045","8072","8107","5128","9815","6892","5186","6167","4114","4289","8434","8708","9291","8252","7910","2311","2893","2718","1194","2522","3649","2337","2992","3413","3747","9125","1529","5568","7532","11298","9973","6205","5159","3693","2419","2398","1497","2093","3143","3114","1852","3188","3215","3462","3820","3166","4915","4230.879"
"31","36","Yellowfin tuna","Thunnus albacares","1000","1158","700","500","607","600","1451","3802","14383","13011","12300","3700","28117","19600","19600","13100","14600","5500","10914","11800","10346","10498","11847","12216","12599","9451","8995","6250","7208","6436","9114","9463","19276","32667","32860","33520","22766","18574","23653","26880","20297","25876","24763","27554","35324","22752","21697","22964","22166","19976","21556","27057","18479","15799","17351","10975","17524","13720","11666","12939","15187","13845.004","19087.278","21865.182","25830.514","27036.008","34486.638999999996","29309.926","30965.891999999996","24503.353"
"31","36","Skipjack tuna","Katsuwonus pelamis","500","500","700","800","600","800","800","1000","1500","2000","3300","2700","1200","700","700","1000","1100","1200","1400","1300","1673","1872","2698","2735","3348","3316","4829","6412","4762","3472","5613","6663","14011","14954","20875","15490","11512","8886","5757","4714","4275","7713","10886","14747","9136","5212","4853","5578","5998","4186","4143","7771","3726","4449","4392","2330","3245","1682","1581","2971","2759","2164","2628","2681","3505","3771","3701","7823","6407","3422.992"
"31","35","Atlantic thread herring","Opisthonema oglinum","100","100","100","100","200","200","3618","7355","2655","3336","6025","2172","900","1600","1200","1787","4971","14001","14193","10086","9700","14600","19300","11100","7965","5651","13036","5923","4149","3281","6098","3370","3759","5410","3982","4846","3699","3418","4146","6892","7563","6853","5954","6573","4354","3779","4506","9540","13640","18116","12761","6423","3241","11993","13588","10930","7439","7644","8400","8641","5277","2120","3341","2819","2408","2469","3171","3518","2465","1664.915"
"31","36","Atlantic bonito","Sarda sarda","133","108","5","16","104","108","206","209","202","202","101","501","902","701","300","300","442","505","805","805","700","1200","1279","2098","2055","2014","2147","1636","1058","1303","1795","2082","1999","1846","2189","1506","2110","1807","2061","2699","2370","2762","3151","3635","4740","3806","3534","4178","4513","4669","2458","2108","2456","1714","1811","1356","1359","1247","1180","1585","1917","1970","2009","2101","2026","2923","3738","3269","4180","2794.474"
